2026-03-07 15:34:32,489 | INFO | Ticket CASH_COLLECTION_REQUEST create
2026-03-07 15:34:32,499 | INFO | party_ticket correct
2026-03-07 15:34:32,499 | INFO | ticket 1 correct
2026-03-07 15:34:32,499 | INFO | path_correct
2026-03-07 15:34:32,499 | INFO | ticket 1 correct
2026-03-07 15:34:32,499 | INFO | Ticket 1 update patch dict_keys(['current_state', 'comment'])
2026-03-07 15:38:17,768 | INFO | user Один assert in bd
2026-03-07 15:38:17,768 | INFO | branch Асгард assert
2026-03-07 15:38:17,768 | INFO | user Тор assert in bd
2026-03-07 15:38:17,768 | INFO | user Фрейя assert in bd
2026-03-07 15:38:17,771 | INFO | Event FAUCET correct
2026-03-07 15:38:17,771 | INFO | Ticket FAUCET create
2026-03-07 15:38:17,771 | INFO | party_ticket correct
2026-03-07 15:38:17,771 | INFO | Event NO_ELECTRICITY correct
2026-03-07 15:38:17,771 | INFO | Ticket NO_ELECTRICITY create
2026-03-07 15:38:17,771 | INFO | party_ticket correct
2026-03-07 15:38:17,771 | INFO | Event CASH_COLLECTION_REQUEST correct
2026-03-07 15:38:17,771 | INFO | Ticket CASH_COLLECTION_REQUEST create
2026-03-07 15:38:17,771 | INFO | party_ticket correct
2026-03-07 15:38:17,845 | INFO | user Один assert in bd
2026-03-07 15:38:17,846 | INFO | branch Асгард assert
2026-03-07 15:38:17,846 | INFO | user Локи assert in bd
2026-03-07 15:38:17,886 | INFO | user Один assert in bd
2026-03-07 15:38:17,887 | INFO | branch Асгард assert
2026-03-07 15:38:17,887 | INFO | user Тор assert in bd
2026-03-07 15:38:17,887 | INFO | user Локи assert in bd
2026-03-07 15:38:17,887 | INFO | user Фрейя assert in bd
2026-03-07 15:38:17,887 | INFO | Event CASH_COLLECTION_REQUEST correct
2026-03-07 15:38:17,887 | INFO | Ticket CASH_COLLECTION_REQUEST create
2026-03-07 15:38:17,887 | INFO | party_ticket correct
2026-03-07 15:38:17,888 | INFO | ticket 1 correct
2026-03-07 15:38:17,888 | INFO | path_correct
2026-03-07 15:38:17,888 | INFO | ticket 1 correct
2026-03-07 15:38:17,888 | INFO | Ticket 1 update patch dict_keys(['current_state', 'comment'])
2026-03-07 15:38:17,888 | INFO | ticket 1 correct
2026-03-07 15:38:17,888 | INFO | path_correct
2026-03-07 15:38:17,888 | INFO | ticket 1 correct
2026-03-07 15:38:17,888 | INFO | Ticket 1 update patch dict_keys(['current_state', 'assigned_to', 'comment'])
2026-03-07 15:38:17,888 | INFO | ticket 1 correct
2026-03-07 15:38:17,888 | INFO | path_correct
2026-03-07 15:38:17,888 | INFO | ticket 1 correct
2026-03-07 15:38:17,888 | INFO | Ticket 1 update patch dict_keys(['current_state', 'comment'])
2026-03-07 15:38:17,888 | INFO | ticket 1 correct
2026-03-07 15:38:17,888 | INFO | path_correct
2026-03-07 15:38:17,890 | INFO | ticket 1 correct
2026-03-07 15:38:17,890 | INFO | Ticket 1 update patch dict_keys(['current_state', 'comment'])
2026-03-07 15:38:17,890 | INFO | ticket 1 correct
2026-03-07 15:38:17,890 | INFO | path_correct
2026-03-07 15:38:17,890 | INFO | ticket 1 correct
2026-03-07 15:38:17,890 | INFO | Ticket 1 update patch dict_keys(['current_state', 'comment'])
2026-03-07 15:38:17,890 | INFO | ticket 1 correct
2026-03-07 15:38:17,890 | INFO | path_correct
2026-03-07 15:38:17,890 | INFO | ticket 1 correct
2026-03-07 15:38:17,891 | INFO | Ticket 1 update patch dict_keys(['current_state', 'comment', 'date_close'])
2026-03-07 15:38:17,933 | INFO | user Один assert in bd
2026-03-07 15:38:17,933 | INFO | branch Асгард assert
2026-03-07 15:38:17,934 | INFO | user Тор assert in bd
2026-03-07 15:38:17,934 | INFO | user Локи assert in bd
2026-03-07 15:38:17,934 | INFO | user Фрейя assert in bd
2026-03-07 15:38:17,934 | INFO | Event CASH_COLLECTION_REQUEST correct
2026-03-07 15:38:17,934 | INFO | Ticket CASH_COLLECTION_REQUEST create
2026-03-07 15:38:17,934 | INFO | party_ticket correct
2026-03-07 15:38:17,934 | INFO | ticket 1 correct
2026-03-07 15:38:17,934 | INFO | path_correct
2026-03-07 15:38:17,934 | INFO | ticket 1 correct
2026-03-07 15:38:17,934 | INFO | Ticket 1 update patch dict_keys(['current_state', 'comment'])
2026-03-07 15:38:17,935 | INFO | ticket 1 correct
2026-03-07 15:38:17,935 | INFO | path_correct
2026-03-07 15:38:17,935 | INFO | ticket 1 correct
2026-03-07 15:38:17,935 | INFO | Ticket 1 update patch dict_keys(['current_state', 'assigned_to', 'comment'])
2026-03-07 15:38:17,935 | INFO | ticket 1 correct
2026-03-07 15:38:17,935 | INFO | path_correct
2026-03-07 15:38:17,935 | INFO | ticket 1 correct
2026-03-07 15:38:17,935 | INFO | Ticket 1 update patch dict_keys(['current_state', 'comment'])
2026-03-07 15:38:17,935 | INFO | ticket 1 correct
2026-03-07 15:38:17,935 | INFO | path_correct
2026-03-07 15:38:17,935 | INFO | ticket 1 correct
2026-03-07 15:38:17,935 | INFO | Ticket 1 update patch dict_keys(['current_state', 'comment'])
2026-03-07 15:38:17,936 | INFO | ticket 1 correct
2026-03-07 15:38:17,936 | INFO | path_correct
2026-03-07 15:38:17,936 | INFO | ticket 1 correct
2026-03-07 15:38:17,936 | INFO | Ticket 1 update patch dict_keys(['current_state', 'comment'])
2026-03-07 15:38:17,936 | INFO | ticket 1 correct
2026-03-07 15:38:17,936 | INFO | path_correct
2026-03-07 15:38:17,936 | INFO | ticket 1 correct
2026-03-07 15:38:17,936 | INFO | Ticket 1 update patch dict_keys(['current_state', 'comment', 'date_close'])
2026-03-07 15:38:17,977 | INFO | user Один assert in bd
2026-03-07 15:38:17,978 | INFO | branch Асгард assert
2026-03-07 15:38:17,978 | INFO | user Тор assert in bd
2026-03-07 15:38:17,978 | INFO | user Локи assert in bd
2026-03-07 15:38:17,978 | INFO | user Фрейя assert in bd
2026-03-07 15:38:17,978 | INFO | Event CASH_COLLECTION_REQUEST correct
2026-03-07 15:38:17,978 | INFO | Ticket CASH_COLLECTION_REQUEST create
2026-03-07 15:38:17,978 | INFO | party_ticket correct
2026-03-07 15:38:17,978 | INFO | ticket 1 correct
2026-03-07 15:38:17,978 | INFO | path_correct
2026-03-07 15:38:17,979 | INFO | ticket 1 correct
2026-03-07 15:38:17,979 | INFO | Ticket 1 update patch dict_keys(['current_state', 'reject_comment', 'date_close'])
2026-03-07 15:38:17,979 | INFO | ticket 1 correct
2026-03-07 15:38:17,979 | ERROR | Path incorrect. Reason: Invalid lifecycle transition
2026-03-07 15:38:18,030 | INFO | user Один assert in bd
2026-03-07 15:38:18,031 | INFO | branch Асгард assert
2026-03-07 15:38:18,031 | INFO | user Тор assert in bd
2026-03-07 15:38:18,031 | INFO | user Локи assert in bd
2026-03-07 15:38:18,031 | INFO | user Фрейя assert in bd
2026-03-07 15:38:18,031 | INFO | Event CASH_COLLECTION_REQUEST correct
2026-03-07 15:38:18,031 | INFO | Ticket CASH_COLLECTION_REQUEST create
2026-03-07 15:38:18,032 | INFO | party_ticket correct
2026-03-07 15:38:18,032 | INFO | ticket 1 correct
2026-03-07 15:38:18,032 | INFO | path_correct
2026-03-07 15:38:18,032 | INFO | ticket 1 correct
2026-03-07 15:38:18,032 | INFO | Ticket 1 update patch dict_keys(['current_state', 'comment'])
2026-03-07 15:38:18,033 | INFO | ticket 1 correct
2026-03-07 15:38:18,033 | INFO | path_correct
2026-03-07 15:38:18,033 | INFO | ticket 1 correct
2026-03-07 15:38:18,033 | INFO | Ticket 1 update patch dict_keys(['current_state', 'assigned_to', 'comment'])
2026-03-07 15:38:18,033 | INFO | ticket 1 correct
2026-03-07 15:38:18,033 | INFO | path_correct
2026-03-07 15:38:18,033 | INFO | ticket 1 correct
2026-03-07 15:38:18,033 | INFO | Ticket 1 update patch dict_keys(['current_state', 'comment'])
2026-03-07 15:38:18,034 | INFO | ticket 1 correct
2026-03-07 15:38:18,034 | INFO | path_correct
2026-03-07 15:38:18,034 | INFO | ticket 1 correct
